61.000000	134.138992	6.799138	-3.347210	225.012951	0.000000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.162359	0.000000
61.000000	-48.409265	-4.379423	-13.108349	29.440492	0.000000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.162359	0.000000
0.000000	146.619038	2.142963	6.451327	-243.532935	0.000000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.191430	0.000000
1.000000	381.164994	9.981793	7.820131	-287.142039	0.000000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.204859	0.000000
1.000000	431.313312	12.221993	12.412728	-386.933789	0.000000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.204859	0.000000
2.000000	668.617444	15.681401	7.311504	-247.351373	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.221596	0.000000
2.000000	460.832342	11.451574	5.026426	-417.039984	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.221596	0.000000
3.000000	361.448241	6.473767	8.018346	-288.301408	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.222382	0.000000
3.000000	127.994336	4.304625	7.075891	-152.107341	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.222382	0.000000
4.000000	74.558646	-0.235614	8.414775	-148.891027	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.234587	0.000000
4.000000	-164.761293	-5.176022	9.016899	-223.904070	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.234587	0.000000
5.000000	39.792536	1.626856	7.075891	-31.409550	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.250285	0.000000
5.000000	142.108719	-2.711427	5.355537	-246.360300	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.250285	0.000000
6.000000	-97.566510	8.590550	8.672828	-297.613759	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.251119	0.000000
6.000000	-67.101285	9.409588	7.827611	-385.550026	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.251119	0.000000
7.000000	171.605309	-1.346364	6.144656	-230.073035	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.264560	0.000000
7.000000	-17.573790	4.196168	12.435167	-427.040476	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.264560	0.000000
8.000000	-129.288341	-0.366510	10.000492	-299.999815	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.280362	0.000000
8.000000	-373.299984	9.959354	5.131143	-126.956514	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.280362	0.000000
9.000000	-391.778830	11.750766	7.666795	-179.449750	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.280967	0.000000
9.000000	-624.520284	-2.584271	4.386903	-266.681046	-0.016000	-0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1772929773.280967	0.000000
